Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
nftrace dropdown,Chrome 114.0.0.0,,,2023-06-12 16:27:25,2023-06-12 16:27:39,13.767s,FAILED
,,,,,,,
Test Cases/NFTrace/SUPER ADMIN/super admin login,Chrome 114.0.0.0,,,2023-06-12 16:27:26,2023-06-12 16:27:31,5.070s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-12 16:27:26,2023-06-12 16:27:28,2.275s,PASSED
"navigateToUrl(""https://app.ccltrace.com/login"")",Chrome 114.0.0.0,,,2023-06-12 16:27:28,2023-06-12 16:27:29,0.657s,PASSED
"setText(findTestObject(""Object Repository/login Page_/input_Email_email""), ""superadmin@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-06-12 16:27:29,2023-06-12 16:27:30,0.972s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login Page_/input_Password_password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-12 16:27:30,2023-06-12 16:27:30,0.477s,PASSED
"click(findTestObject(""Object Repository/login Page_/button_Login""))",Chrome 114.0.0.0,,,2023-06-12 16:27:30,2023-06-12 16:27:31,0.408s,PASSED
,,,,,,,
Test Cases/NFTrace/SUPER ADMIN/duplicate create dropdown,Chrome 114.0.0.0,,,2023-06-12 16:27:31,2023-06-12 16:27:39,8.452s,FAILED
"click(findTestObject(""Object Repository/logout page/a_Organizations""))",Chrome 114.0.0.0,,,2023-06-12 16:27:31,2023-06-12 16:27:33,1.554s,PASSED
"click(findTestObject(""Object Repository/NFTrace - Organizations/button_Create Organization""))",Chrome 114.0.0.0,,,2023-06-12 16:27:33,2023-06-12 16:27:34,0.976s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__organizationName""), ""London University"")",Chrome 114.0.0.0,,,2023-06-12 16:27:34,2023-06-12 16:27:34,0.892s,PASSED
"selectOptionByIndex(findTestObject(""NFTrace - Organizations/select_Select Organization typeSupply Chain_735ca9""), ""2"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-12 16:27:34,2023-06-12 16:27:36,1.065s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__email""), ""london@gotgel.org"")",Chrome 114.0.0.0,,,2023-06-12 16:27:36,2023-06-12 16:27:36,0.849s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__phone""), ""+91 95352-25614"")",Chrome 114.0.0.0,,,2023-06-12 16:27:36,2023-06-12 16:27:37,0.871s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NFTrace - Organizations/input__password""), ""lubJgWeNoDywD0cxuuK8nQ=="")",Chrome 114.0.0.0,,,2023-06-12 16:27:37,2023-06-12 16:27:38,0.556s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NFTrace - Organizations/input__confirmPassword""), ""lubJgWeNoDywD0cxuuK8nQ=="")",Chrome 114.0.0.0,,,2023-06-12 16:27:38,2023-06-12 16:27:38,0.596s,PASSED
"uploadFile(findTestObject(""image/image/input__file upload_file""), ""C:\Users\MD Rahil\Desktop\NFTrace images\focus.png"")",Chrome 114.0.0.0,,,2023-06-12 16:27:38,2023-06-12 16:27:39,0.514s,PASSED
"click(findTestObject(""Object Repository/NFTrace - Organizations/button_Submit""))",Chrome 114.0.0.0,,,2023-06-12 16:27:39,2023-06-12 16:27:39,0.250s,FAILED
