Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
nftrace dropdown,Chrome 114.0.0.0,,,2023-06-12 16:25:27,2023-06-12 16:25:42,15.492s,PASSED
,,,,,,,
Test Cases/NFTrace/SUPER ADMIN/super admin login,Chrome 114.0.0.0,,,2023-06-12 16:25:27,2023-06-12 16:25:32,5.611s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-12 16:25:27,2023-06-12 16:25:30,2.390s,PASSED
"navigateToUrl(""https://app.ccltrace.com/login"")",Chrome 114.0.0.0,,,2023-06-12 16:25:30,2023-06-12 16:25:30,0.913s,PASSED
"setText(findTestObject(""Object Repository/login Page_/input_Email_email""), ""superadmin@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-06-12 16:25:30,2023-06-12 16:25:32,1.062s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login Page_/input_Password_password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-12 16:25:32,2023-06-12 16:25:32,0.527s,PASSED
"click(findTestObject(""Object Repository/login Page_/button_Login""))",Chrome 114.0.0.0,,,2023-06-12 16:25:32,2023-06-12 16:25:32,0.428s,PASSED
,,,,,,,
Test Cases/NFTrace/SUPER ADMIN/duplicate create dropdown,Chrome 114.0.0.0,,,2023-06-12 16:25:32,2023-06-12 16:25:42,9.630s,PASSED
"click(findTestObject(""Object Repository/logout page/a_Organizations""))",Chrome 114.0.0.0,,,2023-06-12 16:25:33,2023-06-12 16:25:34,1.576s,PASSED
"click(findTestObject(""Object Repository/NFTrace - Organizations/button_Create Organization""))",Chrome 114.0.0.0,,,2023-06-12 16:25:34,2023-06-12 16:25:35,1.000s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__organizationName""), ""London University"")",Chrome 114.0.0.0,,,2023-06-12 16:25:35,2023-06-12 16:25:36,0.941s,PASSED
"selectOptionByIndex(findTestObject(""NFTrace - Organizations/select_Select Organization typeSupply Chain_735ca9""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-12 16:25:36,2023-06-12 16:25:37,1.093s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/NFTrace - Organizations/select_Select Organization typeSupply Chain_735ca9""), ""Education"", true)",Chrome 114.0.0.0,,,2023-06-12 16:25:37,2023-06-12 16:25:39,1.195s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__email""), ""london@gotgel.org"")",Chrome 114.0.0.0,,,2023-06-12 16:25:39,2023-06-12 16:25:39,0.734s,PASSED
"setText(findTestObject(""Object Repository/NFTrace - Organizations/input__phone""), ""+91 95352-25614"")",Chrome 114.0.0.0,,,2023-06-12 16:25:39,2023-06-12 16:25:40,0.836s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NFTrace - Organizations/input__password""), ""lubJgWeNoDywD0cxuuK8nQ=="")",Chrome 114.0.0.0,,,2023-06-12 16:25:40,2023-06-12 16:25:41,0.560s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NFTrace - Organizations/input__confirmPassword""), ""lubJgWeNoDywD0cxuuK8nQ=="")",Chrome 114.0.0.0,,,2023-06-12 16:25:41,2023-06-12 16:25:41,0.541s,PASSED
"uploadFile(findTestObject(""image/image/input__file upload_file""), ""C:\Users\MD Rahil\Desktop\NFTrace images\focus.png"")",Chrome 114.0.0.0,,,2023-06-12 16:25:41,2023-06-12 16:25:42,0.478s,PASSED
"click(findTestObject(""Object Repository/NFTrace - Organizations/button_Submit""))",Chrome 114.0.0.0,,,2023-06-12 16:25:42,2023-06-12 16:25:42,0.364s,PASSED
